Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description,Manufacture Part Number,Side
R39,2.2K,TopLayer,FP-SR0402-MFG,69.309,6.123,0,RES 2.2K OHM 1% 1/5W 0402,SR0402FR-7T2K2L,Top
SD1,104031-0811,TopLayer,MOLX-104031-0811_V,72.7274,43.1684,90,"Micro SD Card, RA, -25 to 85 degC, 8-Pin SMD, RoHS, Tape and Reel",1040310811,Top
U1,FT234XD-R,TopLayer,DFN-12_V,11.045,55.459,0,"FT234XD USB to BASIC UART IC, -40 to +85 degC, 12-Pin DFN, Pb-Free, Tape and Reel",FT234XD-R,Top
U2,LM5118MH,TopLayer,MXA20A,51.8652,48.526,90,"Buck, Buck-Boost Regulator Positive Output Step-Down, Step-Up/Step-Down DC-DC Controller IC 20-HTSSOP",LM5118MH/NOPB,Top
U3,20021111-00010T4LF,TopLayer,20021111-00010T4LF,2.667,18.7706,270,CONN HEADER 10POS UNSHD VERT T/H,20021111-00010T4LF,Top
U4,SAMW25H18-MR510PB,TopLayer,SAMW25H18-MR510PB,20.265,35,180,RF TXRX MODULE WIFI TRACE ANT,ATSAMW25H18-MR510PB,Top
U5,LM25118MH/NOPB,TopLayer,MXA20A,50.3663,22.0282,0,No Description Available,LM25118MH/NOPB,Top
U6,BQ24075RGTRG4,TopLayer,RGT16-1700X1700TP,22.7838,56.896,0,"USB-Friendly Li-Ion Battery Charger and Power-Path Management IC, Vout 5.5 V, 4.3 V, -40 to 85 degC, 16-pin QFN (RGT), Green (RoHS & no Sb/Br)",BQ24079TRGTT,Top
U7,SHTC3,TopLayer,SHTC3_SEN,68.6861,9.171,270,No Description Available,SHTC3-TR-2.5KS,Top
X1,ABS07-32.768KHz-T,TopLayer,ABRA-ABS07-2_V,35.306,38.8122,90,"Crystal, 32.768 kHz, 12.5 pF, -40 to 85 degC, SMD Low Profile 3.2 x 1.5 x 0.9 mm, Tape and Reel",ABS07-32.768KHZ-T,Top
